player_id,season,passing_yards,passing_tds,interceptions,td_to_int_ratio,player_name,team,position
00-0023459,2024,3897.0,28,11.0,2.55,Aaron Rodgers,NYJ,QB
00-0026158,2024,1761.0,12,7.0,1.71,Joe Flacco,IND,QB
00-0026300,2024,17.0,0,0.0,,Josh Johnson,BAL,QB
00-0026498,2024,4295.0,24,8.0,3.0,Matthew Stafford,LA,QB
00-0027973,2024,989.0,7,6.0,1.17,Andy Dalton,CAR,QB
00-0028118,2024,119.0,3,0.0,,Tyrod Taylor,NYJ,QB
00-0029263,2024,2752.0,18,5.0,3.6,Russell Wilson,PIT,QB
00-0029604,2024,3508.0,18,16.0,1.12,Kirk Cousins,ATL,QB
00-0030565,2024,4320.0,21,15.0,1.4,Geno Smith,SEA,QB
00-0031237,2024,3.0,0,0.0,,Teddy Bridgewater,DET,QB
00-0031280,2024,2145.0,15,5.0,3.0,Derek Carr,NO,QB
00-0031345,2024,334.0,2,1.0,2.0,Jimmy Garoppolo,LA,QB
00-0031503,2024,2121.0,13,12.0,1.08,Jameis Winston,CLE,QB
00-0031800,2024,28.0,0,0.0,,Taylor Heinicke,LAC,QB
00-0032268,2024,364.0,4,0.0,,Marcus Mariota,WAS,QB
00-0032434,2024,199.0,1,2.0,0.5,Brandon Allen,SF,QB
00-0032950,2024,118.0,0,0.0,,Carson Wentz,KC,QB
00-0033077,2024,1978.0,11,8.0,1.38,Dak Prescott,DAL,QB
00-0033106,2024,4942.0,38,15.0,2.53,Jared Goff,DET,QB
00-0033119,2024,826.0,2,1.0,2.0,Jacoby Brissett,NE,QB
00-0033319,2024,38.0,0,0.0,,Nick Mullens,MIN,QB
00-0033537,2024,1148.0,5,3.0,1.67,Deshaun Watson,CLE,QB
00-0033662,2024,1844.0,12,5.0,2.4,Cooper Rush,DAL,QB
00-0033869,2024,179.0,2,0.0,,Mitchell Trubisky,BUF,QB
00-0033873,2024,4350.0,28,11.0,2.55,Patrick Mahomes,KC,QB
00-0033949,2024,361.0,2,2.0,1.0,Joshua Dobbs,SF,QB
00-0034177,2024,276.0,1,1.0,1.0,Tim Boyle,NYG,QB
00-0034401,2024,28.0,0,0.0,,Mike White,BUF,QB
00-0034577,2024,19.0,0,0.0,,Kyle Allen,PIT,QB
00-0034771,2024,1530.0,9,9.0,1.0,Mason Rudolph,TEN,QB
00-0034796,2024,4601.0,45,5.0,9.0,Lamar Jackson,BAL,QB
00-0034855,2024,4685.0,43,16.0,2.69,Baker Mayfield,TB,QB
00-0034857,2024,4367.0,32,6.0,5.33,Josh Allen,BUF,QB
00-0034869,2024,4564.0,36,13.0,2.77,Sam Darnold,MIN,QB
00-0035100,2024,0.0,0,0.0,,Jake Browning,CIN,QB
00-0035228,2024,3851.0,21,11.0,1.91,Kyler Murray,ARI,QB
00-0035264,2024,0.0,0,0.0,,Jarrett Stidham,DEN,QB
00-0035289,2024,2013.0,9,10.0,0.9,Gardner Minshew,LV,QB
00-0035704,2024,1071.0,6,5.0,1.2,Drew Lock,NYG,QB
00-0035710,2024,2070.0,8,7.0,1.14,Daniel Jones,MIN,QB
00-0035993,2024,829.0,3,3.0,1.0,Tyler Huntley,MIA,QB
00-0036212,2024,2867.0,19,7.0,2.71,Tua Tagovailoa,MIA,QB
00-0036264,2024,3601.0,25,14.0,1.79,Jordan Love,GB,QB
00-0036355,2024,4112.0,24,7.0,3.43,Justin Herbert,LAC,QB
00-0036389,2024,3408.0,21,5.0,4.2,Jalen Hurts,PHI,QB
00-0036442,2024,4918.0,43,9.0,4.78,Joe Burrow,CIN,QB
00-0036898,2024,212.0,0,0.0,,Davis Mills,HOU,QB
00-0036928,2024,5.0,0,0.0,,Kyle Trask,TB,QB
00-0036945,2024,1106.0,5,1.0,5.0,Justin Fields,PIT,QB
00-0036971,2024,2045.0,11,7.0,1.57,Trevor Lawrence,JAX,QB
00-0036972,2024,1672.0,8,8.0,1.0,Mac Jones,JAX,QB
00-0037012,2024,266.0,0,1.0,0.0,Trey Lance,DAL,QB
00-0037077,2024,24.0,0,1.0,0.0,Sam Howell,SEA,QB
00-0037324,2024,0.0,0,0.0,,Chris Oladokun,KC,QB
00-0037327,2024,187.0,0,0.0,,Skylar Thompson,MIA,QB
00-0037834,2024,3864.0,20,12.0,1.67,Brock Purdy,SF,QB
00-0038102,2024,291.0,2,1.0,2.0,Kenny Pickett,PHI,QB
00-0038108,2024,170.0,1,2.0,0.5,Bailey Zappe,CLE,QB
00-0038122,2024,458.0,2,2.0,1.0,Desmond Ridder,LV,QB
00-0038128,2024,550.0,3,0.0,,Malik Willis,GB,QB
00-0038400,2024,323.0,4,0.0,,Tanner McKee,PHI,QB
00-0038416,2024,11.0,0,0.0,,Tyson Bagent,CHI,QB
00-0038476,2024,257.0,0,0.0,,Tommy DeVito,NYG,QB
00-0038550,2024,62.0,0,0.0,,Hendon Hooker,DET,QB
00-0038579,2024,1612.0,8,4.0,2.0,Aidan O'Connell,LV,QB
00-0038582,2024,8.0,0,0.0,,Clayton Tune,ARI,QB
00-0038583,2024,440.0,0,6.0,0.0,Dorian Thompson-Robinson,CLE,QB
00-0038998,2024,226.0,1,1.0,1.0,Jake Haener,NO,QB
00-0039150,2024,2403.0,15,9.0,1.67,Bryce Young,CAR,QB
00-0039152,2024,2091.0,13,12.0,1.08,Will Levis,TEN,QB
00-0039163,2024,4254.0,21,13.0,1.62,C.J. Stroud,HOU,QB
00-0039164,2024,1814.0,8,12.0,0.67,Anthony Richardson,IND,QB
00-0039376,2024,1317.0,4,5.0,0.8,Spencer Rattler,NO,QB
00-0039398,2024,241.0,1,0.0,,Joe Milton III,NE,QB
00-0039732,2024,3919.0,30,12.0,2.5,Bo Nix,DEN,QB
00-0039851,2024,2276.0,15,10.0,1.5,Drake Maye,NE,QB
00-0039910,2024,4390.0,30,10.0,3.0,Jayden Daniels,WAS,QB
00-0039917,2024,775.0,3,3.0,1.0,Michael Penix Jr.,ATL,QB
00-0039918,2024,3541.0,20,6.0,3.33,Caleb Williams,CHI,QB
